iter	Passed	Remaining
0	0	70
1	1	66
2	2	65
3	2	64
4	3	62
5	3	60
6	4	59
7	5	58
8	5	57
9	6	54
10	6	53
11	7	52
12	7	52
13	8	51
14	8	50
15	9	49
16	9	47
17	10	46
18	10	45
19	11	45
20	11	44
21	12	42
22	12	42
23	13	41
24	13	41
25	14	40
26	14	40
27	15	38
28	15	38
29	16	38
30	17	38
31	17	37
32	18	37
33	19	37
34	19	36
35	20	35
36	20	35
37	21	35
38	22	34
39	22	34
40	23	33
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	31	26
54	32	26
55	33	26
56	33	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	38	22
63	38	21
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	45	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
